id,neighbourhood_cleansed,neighbourhood_group
3907,Upper West Side,Manhattan
3908,Long Island City,Queens
3909,Upper East Side,Manhattan
3910,Bergen Beach,Brooklyn
3911,Sunset Park,Brooklyn
3912,Fort Greene,Brooklyn
3913,Clinton Hill,Brooklyn
3914,Bedford-Stuyvesant,Brooklyn
3915,Chelsea,Manhattan
3916,Upper East Side,Manhattan
3917,East New York,Brooklyn
3918,Astoria,Queens
3919,Sheepshead Bay,Brooklyn
3920,East Flatbush,Brooklyn
3921,Grant City,Staten Island
3922,East New York,Brooklyn
3923,Upper West Side,Manhattan
3924,Arverne,Queens
3925,Sea Gate,Brooklyn
3926,Prospect-Lefferts Gardens,Brooklyn
3927,Williamsburg,Brooklyn
3928,Broad Channel,Queens
3929,Hell's Kitchen,Manhattan
3930,South Slope,Brooklyn
3931,Bushwick,Brooklyn
3932,East Village,Manhattan
3933,Clinton Hill,Brooklyn
3934,East New York,Brooklyn
3935,Midtown,Manhattan
3936,Midtown,Manhattan
3937,Chelsea,Manhattan
3938,Midtown,Manhattan
3939,Rockaway Beach,Queens
3940,Harlem,Manhattan
3941,Midtown,Manhattan
3942,Allerton,Bronx
3943,Sea Gate,Brooklyn
3944,Upper East Side,Manhattan
3945,Murray Hill,Manhattan
3946,Williamsburg,Brooklyn
3947,Hell's Kitchen,Manhattan
3948,Upper West Side,Manhattan
3949,Bay Ridge,Brooklyn
3950,Crown Heights,Brooklyn
3951,Fort Greene,Brooklyn
3952,Midtown,Manhattan
3953,Fort Greene,Brooklyn
3954,Bushwick,Brooklyn
3955,Harlem,Manhattan
3956,Jackson Heights,Queens
3957,Gramercy,Manhattan
3958,Upper East Side,Manhattan
3959,Crown Heights,Brooklyn
3960,Astoria,Queens
3961,Astoria,Queens
3962,Lower East Side,Manhattan
3963,East Flatbush,Brooklyn
3964,Castleton Corners,Staten Island
3965,Bedford-Stuyvesant,Brooklyn
3966,Upper West Side,Manhattan
3967,Fort Greene,Brooklyn
3968,Bushwick,Brooklyn
3969,Harlem,Manhattan
3970,Theater District,Manhattan
3971,East Flatbush,Brooklyn
3972,Upper West Side,Manhattan
3973,Harlem,Manhattan
3974,Harlem,Manhattan
3975,Williamsbridge,Bronx
3976,East New York,Brooklyn
3977,Bedford-Stuyvesant,Brooklyn
3978,Midtown,Manhattan
3979,Fort Greene,Brooklyn
3980,Roosevelt Island,Manhattan
3981,Midtown,Manhattan
3982,Astoria,Queens
3983,Canarsie,Brooklyn
3984,Greenpoint,Brooklyn
3985,Bushwick,Brooklyn
3986,Clinton Hill,Brooklyn
3987,Financial District,Manhattan
3988,Washington Heights,Manhattan
3989,East Flatbush,Brooklyn
